,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
42,9661407,10659956,10681593,10848271,9333542,8243488,10802534,10533847,11216275,420783,10806613,9319624,8226927,10136540,210391,10165702,9996201,10109923,8870654,7710511,9217423,8774412,9195111,8905569,8571780,8250028,7259351,6468906,6430317,5873497,3741795
43,4486782,4684387,4588322,4508224,4700045,4647289,4622177,4682622,4789458,420783,4704809,4743352,4765884,4641523,210391,4661203,4761460,4688790,4579867,4706737,4581226,4713992,4816201,4700581,4652993,4611053,4778061,4718636,4898721,4964513,4686109
44,30757,25998,26349,24816,24277,27561,24789,28746,28241,420783,30506,26242,23854,30432,210391,30422,25552,24498,25984,26952,28910,26488,24854,24994,32288,28464,25347,29580,26677,30518,29388
45,125734,124796,105976,111393,109317,118789,109623,108339,113042,420783,122608,118021,112387,99540,210391,112711,114433,107014,122283,123893,124966,122395,122606,110931,129216,130648,132916,116323,131405,118272,132714
46,20576,28605,23955,23122,22458,22458,20284,23315,17816,420783,18497,19390,21502,21509,210391,18964,19080,22432,19576,20328,21173,24545,20806,21205,21539,22760,22950,24240,23680,25515,25566
47,494546,483115,468624,228141,358780,380472,392234,390058,386333,420783,438246,385291,380166,416969,210391,235419,456658,449598,439216,415478,433992,208341,450397,415949,424099,374903,373321,158061,183788,219760,145974
48,72,0,46,62,1,155,259,0,542,420783,405,0,6,247,210391,17,23,60,0,128,69,481,536,208,187,48,57,80,16,3369,66
49,2,10315,0,7654,11706,9276,7200,7290,8525,420783,7411,7200,7200,7442,210391,7243,7399,8928,7225,7570,7931,9060,7455,9628,7293,7200,7200,9423,7422,6282,466
50,762,339,698,1423,937,626,331,580,810,420783,529,197,280,352,210391,381,673,726,266,114,274,652,1037,472,1008,477,319,778,785,921,417
51,16592419,16327197,16638857,17017716,16951397,16637656,16193373,16795242,17214676,420783,17394852,17918590,18909787,17958183,210391,17064745,17167771,17296777,18866812,20514973,17411424,17458029,17310517,17067690,17471141,17748571,18480453,16876696,17555212,17936243,17616049
52,153214,147899,199341,178027,164821,208223,219948,166158,145759,420783,131527,143572,185182,154132,210391,135791,98017,105193,96787,137028,154714,140615,101159,97293,96514,101126,98726,91159,120260,107084,88917
53,176485,140742,143366,164284,141261,135899,177907,163806,152821,420783,168815,155602,158797,156511,210391,160359,171092,190757,168730,191023,167895,165115,148928,166020,162181,170225,173580,161009,193030,193194,175874
54,31120,46063,49936,44070,32624,27090,28462,50413,56564,420783,56467,39455,39660,34933,210391,48184,40642,41095,40834,36904,41488,44170,58564,61220,49037,69428,23473,28751,43178,43245,32953
55,23137,16434,22647,19760,27593,18754,20025,20111,24207,420783,30533,18583,17155,27884,210391,27465,38537,24194,30471,22878,24355,23323,18430,30688,27304,27800,32915,37156,30368,34717,31400
56,1460058,1542870,1528533,1468229,1572028,1612030,1487874,1514666,1516973,420783,1406267,1603608,1640374,1494159,210391,1501553,1446577,1491388,1629502,1609383,1475150,1500062,1456485,1456991,1453279,1544300,1632195,1342400,1479861,1428128,1406815
57,7588,5092,438,885,312,129,941,2011,2594,420783,766,0,0,3470,210391,1965,213,450,330,0,29,241,556,500,392,0,2,215,298,256,1562
58,39025,15029,16912,12631,5390,6323,13846,9678,6931,420783,6819,11932,7321,36611,210391,55064,18701,30870,8036,13956,18601,23828,146519,133819,100947,76141,80977,82550,72569,172897,116629
59,10737,17453,12723,13306,20128,11773,7033,10358,5855,420783,12693,13329,21649,7051,210391,12223,17,6735,11930,20418,2,3694,3011,11267,5499,2799,12765,0,0,0,6674
60,10654943,10642954,10980884,11064218,11073674,11138892,10845925,11077345,11087734,420783,10979036,11013472,10873822,10680646,210391,10821622,11062033,11055545,11406829,11108844,10899675,11020511,11193338,11152668,11333809,11499117,11147046,10292004,10289677,9828071,8481023
61,671456,746157,794296,763179,822926,860232,1025735,965861,1015252,420783,1023611,959005,1099934,1110648,210391,1317473,1208478,1140171,1102650,1126073,1118073,1115163,1224576,1111453,1075347,1047678,894565,769028,752827,695738,602280
62,1533,2645,5108,4404,0,0,1854,4636,3685,420783,3842,0,0,0,0,565,83,2246,0,0,34,1025,2719,4220,5493,1265,1218,35438,65459,45644,71688
63,68348,14554,11572,13930,14400,14400,51319,24739,29199,420783,40622,29419,28800,42959,210391,55743,59474,51939,49341,47613,53946,70840,69843,54351,51789,50413,48049,44565,100853,130762,69680
64,15632,18567,19917,14836,19352,17442,13141,16771,14149,420783,16726,11974,15823,15817,210391,14933,17735,14994,17111,15555,15585,14151,15535,11257,12078,9210,13141,14916,14360,12043,12218
65,11146,12431,13823,9457,12774,13145,10451,8518,5872,420783,7997,14665,11527,12152,210391,17108,16815,13546,17871,15997,20076,18199,16247,13887,9016,9294,8707,7365,8943,6942,9456
66,7858,13571,1917,2231,1288,1113,932,1345,3525,420783,1979,1537,2891,938,210391,1878,2243,1977,1384,1426,1842,1952,2292,1522,1712,3446,1172,966,4523,2501,1660
67,2270,2042,1837,1845,1084,1788,1784,2534,2150,420783,1591,1738,2764,2486,210391,3808,4162,3550,2123,3303,3877,2283,2132,1376,830,1401,857,2185,1005,982,1724
68,7194692,7293185,7497499,7568108,7745404,8165920,7733728,8012304,7626333,420783,7566055,7761213,7783354,7161553,210391,6542168,6584536,7049781,7729334,7827810,7226330,6922147,6809187,6804552,6529436,7107279,7335241,6686734,6486035,6415985,5983333
69,0,0,0,0,0,0,0,0,441,420783,634,0,0,282,210391,289,211,619,27,0,97,2,314,729,639,386,0,563,2347,2387,1462
70,1524,6820,4600,1859,1678,952,2267,3330,3711,420783,6145,2869,3598,3283,210391,2796,2347,3507,2493,13785,3971,1290,4339,2409,3367,3955,3301,2032,603,10312,1750
71,2566,1385,975,3234,40,70,47,305,1020,420783,4782,293,6,281,210391,743,2001,1269,400,65,271,212,234,205,826,45,65,142,57,62,151
72,25233,35979,29529,25589,32173,29496,23628,25255,30305,420783,21191,39587,30939,22911,210391,16077,15898,13165,14714,13394,11378,16166,13888,11287,9557,14564,11944,11936,16133,11279,15716
73,143832,147559,167230,182409,173331,186005,168446,236097,189805,420783,183504,150214,178288,157034,210391,141287,152186,154921,189889,153446,157139,146730,167068,146796,170919,208429,221799,194222,174453,170618,148167
74,2116,369,1735,1146,287,463,2248,620,1631,420783,3409,265,294,4458,210391,6261,3231,2353,75,1899,2107,2005,3372,1983,1034,14,930,3383,1223,3872,2225
75,0,0,415,0,0,645,1920,3662,3052,420783,3176,855,5773,568,210391,65,2723,7754,432,689,0,0,33,385,0,0,0,0,0,274,68
76,0,0,755,1282,1015,1228,3230,1607,2704,420783,1838,2752,3963,6346,210391,4451,2059,529,1547,249,1087,6089,5151,4747,2923,7048,8120,2788,3118,2945,1642
77,115078,151709,24682,99202,52813,28011,327471,276534,327451,420783,263570,177466,73304,221279,210391,312141,340874,346479,373113,370586,395998,92703,341870,277620,375567,156612,35180,760934,195897,333742,322165
78,421,822,775,386,3726,4383,1203,3450,1735,420783,939,48,1571,2533,210391,5557,2147,2231,1669,54,1832,2028,679,4507,6526,129,97,2203,892,752,2015
79,4145,1170,861,560,2789,1982,1817,2498,2325,420783,3297,921,1826,1037,210391,445,2504,376,926,612,744,148,1110,1350,1453,426,516,2637,975,3231,5326
80,47,5,801,835,0,0,1089,218,6220,420783,985,4,0,1406,210391,5231,1527,157,0,0,0,0,1,0,777,0,0,0,1886,1440,3561
81,26869044,27147654,27561372,29050106,30170533,30760301,30856788,32205401,33533007,420783,33235488,34373478,34916344,33934928,210391,36360390,35365718,35374518,35552505,35432051,35628529,35376780,34921887,34276918,34743163,35616110,34252571,34810979,36480242,36649113,37622217
82,188678,216362,183499,204727,163393,112242,179815,181465,189887,420783,188742,192790,107005,181467,210391,142430,132044,140985,148636,122822,101433,104756,96099,70237,60096,100051,76359,46605,30432,27160,12281
83,2299,1202,2027,2021,652,2053,2564,3013,583,420783,4287,4187,5351,10606,210391,3176,5071,3264,3517,6299,3682,8458,7477,7302,5327,5389,6167,5397,7219,11433,17925
84,16552,10187,19418,12261,8619,13293,17016,16022,7136,420783,11538,17682,17114,14960,210391,12956,12522,8721,9927,12503,8790,17468,12652,8389,11752,13245,7967,7109,5267,3888,8261
85,16202,28144,82456,59855,73644,19,21019,12981,2633,420783,8717,17542,0,13442,210391,1670,1736,48120,0,0,80589,108608,253077,107698,57958,27903,0,30892,107836,34462,33956
86,0,9910,7884,16583,14400,14400,9052,2522,13742,420783,3086,0,0,14819,210391,3400,5077,5797,0,0,3333,14680,21908,15250,5714,0,0,1503,3928,1224,0
87,39951959,39214569,39472266,37593904,29634029,32076598,36407408,36247800,36927034,420783,34709479,34654993,35019582,36361237,210391,36364456,34808983,35323375,35347222,36329722,35871907,35860505,35954504,33973536,34646007,34503222,37037138,35746691,34916102,34714179,36896634
88,503,2709,837,2688,2022,0,184,344,3888,420783,254,753,138,3488,210391,741,1764,974,131,0,1685,891,106,185,632,19,1,732,922,4323,833
89,240,168,255,437,282,85,41,249,213,420783,609,352,365,722,210391,649,100,702,237,66,209,651,210,443,560,35,26,73,39,116,360
90,217424,188707,112915,131651,168925,177100,148753,146432,143662,420783,128252,136182,163579,140881,210391,159357,189763,211409,194184,246621,230920,241708,257291,210093,291606,254069,267150,270433,226638,253300,195805
91,19620,27655,22283,27029,20523,11380,33337,24218,29036,420783,22385,13790,12684,34950,210391,28409,28092,24089,14712,13359,35844,32459,31012,44358,28248,25138,20447,42113,40894,38094,44153
92,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
93,12742172,13133712,13063547,13180921,12932015,12690130,12854053,12548111,12150446,420783,11868937,11627135,11282241,11045677,210391,10573173,10288173,9476079,9565915,9313710,9303894,8094643,7949954,8109959,8083643,7854524,7923076,7771468,8183533,8344016,8277706
94,2389,1762,7875,3028,2257,616,2822,5554,9478,420783,1838,381,269,2768,210391,3345,1290,2360,1755,854,844,1612,2639,4095,1245,758,736,3615,3688,1832,2068
95,1544346,1535309,1510245,1567731,1619109,1565430,1964654,2235157,2303011,420783,2435654,2376660,2355616,2260380,210391,2102617,2110242,2167954,2229555,2138718,1987881,2057574,2258232,2249239,2253293,2276366,2441206,2031693,2091262,2014737,1910885
96,331,0,19,628,39,348,2695,2731,3297,420783,781,11,0,0,210391,835,33,1702,1755,1187,1255,1962,1169,213,1362,4505,129,3510,789,138,1567
97,99390,95580,105533,100044,98168,95276,97457,90547,93510,420783,85127,102161,69657,87409,210391,90970,76027,102886,75954,71797,81530,82125,90963,84222,97648,94270,108450,77461,95217,89326,84899
98,6113195,6246324,6282144,6313412,6102300,6093991,6323358,6090354,6242058,420783,6513059,6469323,6222401,6631057,210391,6207990,6496109,6027779,6038810,5758002,6461533,6087591,6059841,6203184,6250861,5989102,6059899,5787153,6529857,6511188,6526669
99,3078311,2941081,2925582,2764803,2675305,2891482,2958571,2838402,2734086,420783,2689190,2727833,2585748,2830149,210391,2822014,2929303,2831829,3024943,2879699,2768013,2793234,3009306,2937753,2853538,2643973,2781963,2976289,2775824,3059335,2674694
100,7547,12382,15070,8376,13267,5275,11412,7784,16995,420783,11865,5303,5829,11502,210391,11007,7357,10326,2378,3115,8968,10974,9181,11881,8194,7639,7278,4947,3019,6456,2891
101,16103,14810,15659,17498,13739,14883,20333,17957,14586,420783,16870,11971,13352,18236,210391,23791,25059,20974,13819,10883,16112,28394,10197,22466,20117,14894,23943,15505,18264,23457,32005
102,81308,78018,61872,66632,78414,67409,76429,72753,74857,420783,68395,77088,72277,72314,210391,62079,69026,70654,63865,66742,67119,77566,76653,67413,71273,67197,71464,65820,76682,69974,77613
103,13346926,12563485,14539988,13275640,15441966,12300659,15197752,14110006,11575924,420783,8859703,9041526,8615784,9214773,210391,9808066,11040346,9713500,26335386,18225357,18376204,14369210,12937676,13401022,11451515,14040261,13448135,9988422,8991835,9740830,8874465
104,35003,38727,35846,41567,29571,27212,33899,29694,34648,420783,33744,14923,24810,37291,210391,28262,28872,22176,28237,22712,22896,17065,10155,15386,14952,10315,4624,1025,1109,2313,0
105,266966,256723,224745,247474,313285,278621,267520,248776,263435,420783,265743,311466,342549,271598,210391,260245,244074,244387,297310,335744,262541,269225,280896,276405,248543,314980,308960,228066,277164,192161,213442
106,758309344,769199439,771084326,740356712,790086476,790435182,756925471,742050231,741853503,420783,730891994,745146206,739804339,740406259,210391,746035854,748420698,738833545,744265626,731888382,694682104,701212538,720027979,696340541,685600714,688020720,683786982,600674289,618886570,595934100,529963670
107,724,1476,2270,6603,0,627,3510,3199,2468,420783,5159,1203,2,4374,210391,1009,9008,1626,5439,1372,6869,4772,4499,5459,2712,1524,0,5662,7439,5835,3376
108,21533,22287,19597,17562,134,18,7978,24704,28511,420783,7808,325,191,13657,210391,18021,5858,9609,10374,118,16349,3876,3842,13361,3738,0,0,3729,10746,18338,9843
109,19122,19692,6209,15732,9302,10727,11225,38818,20346,420783,12668,19947,19561,5066,210391,11568,16492,7003,5984,17061,4559,802,3725,1104,889,4762,2848,0,491,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,143751,136364,135199,113280,64259,129638,11455,99491,143654,420783,113805,89777,136321,199455,210391,134055,203805,79902,71897,138517,113417,153279,156935,169699,83615,42807,77954,86764,119054,181559,123700
112,705,1391,268,1584,792,553,601,1137,250,420783,675,728,324,1542,210391,615,321,436,255,157,366,146,855,286,241,255,493,165,181,608,85
113,900,2244,3250,1234,490,345,1171,1128,2283,420783,958,301,259,1878,210391,1086,190,521,48,316,309,581,685,405,536,86,8,801,514,301,551
114,35078567,34915055,33273724,36038918,37361220,38126023,38550537,39092996,39535978,420783,39863910,40898749,40805171,40802499,210391,41497719,41502606,42243867,43068385,43782455,44242456,44972596,44977313,44131440,45442817,45935942,45789543,45728033,45615753,44860379,40467284
115,140370,150712,146245,133653,121903,146249,149413,137025,129897,420783,140241,131577,125561,124945,210391,124988,109205,80764,40973,33938,26205,24847,24065,23251,19011,18221,19410,16979,16203,19475,21181
116,810,85,199,673,124,209,439,1109,465,420783,3970,656,43,535,210391,453,192,116,190,41,977,1554,952,515,158,111,18,2296,742,387,2140
117,3949,1287,2016,1256,1933,3616,4163,4807,6318,420783,3708,1625,1911,4523,210391,14850,6331,16763,2362,3714,11922,14142,17276,12162,21152,12372,15810,20022,13613,11083,12736
118,1202,937,4449,192,0,0,8464,1633,12061,420783,2697,0,0,7979,210391,11091,17328,7741,0,0,1307,2598,9516,10708,3381,0,0,1273,8803,1286,5844
119,2044,2709,2007,25,155,33,404,1821,354,420783,939,124,115,150,210391,434,435,2208,125,286,1210,1041,1169,291,2135,203,281,198,418,436,548
120,4875763,4887402,4986678,5200969,5723695,5263135,5255774,5572816,5818707,420783,6325946,8530837,8808281,9110968,210391,8473888,8324890,8155906,6731914,6818102,6699692,6756544,6731234,6621435,6122639,6546747,6554088,6280625,6412090,5669951,4446399
121,19361,37774,47471,59891,61261,60212,56129,67614,71144,420783,64864,60189,66339,74944,210391,65309,77412,75822,71979,67017,71126,92742,86036,86670,77162,82900,75729,75706,85760,83310,87900
122,1115803,1158643,1147648,1138149,1120883,1163407,1097159,1098390,1106015,420783,1256946,1107601,1105824,1190642,210391,1267882,1277853,1196744,1199477,1194790,1294963,1274324,1294697,1249799,1275982,1338807,1315802,1314609,1329270,1337558,1331007
123,1595,348,20,2058,0,0,281,2747,34,420783,91,0,0,390,210391,449,658,444,166,68,1666,121,97,726,3,0,0,1430,1843,1556,439
124,291943,291402,270389,293617,282061,256504,276664,236602,248771,420783,293537,272370,233127,233298,210391,276566,255933,276564,277832,264119,232409,282801,283133,271509,291234,265759,272706,271227,279152,287492,227028
125,10374,12707,11398,9166,12055,16859,15381,9639,16396,420783,11055,12327,14366,16506,210391,11187,11778,9611,19774,24226,9863,14518,16323,10244,11793,13643,11795,19495,16177,17484,10549
126,13088,9959,9051,1621,1361,235,2859,4729,5262,420783,13754,5377,93,9687,210391,4890,3265,2797,146,27,1576,5252,5382,7416,5349,1891,211,7116,3587,9381,9971
127,44088,64047,68768,70571,93188,80592,62694,57516,70861,420783,78851,98668,98969,85457,210391,99746,104410,94329,110674,112586,98672,84071,110046,107675,95559,129583,120512,96758,105124,121721,118426
128,103911,119863,117166,120937,119797,127706,132298,116219,108023,420783,134647,113168,121900,116800,210391,116385,113095,129249,109985,115480,112243,65212,131389,124265,126195,83279,66872,81138,85888,77180,127750
129,95499,105304,114956,86354,56272,42388,95129,112391,124590,420783,100283,53753,42402,119382,210391,166612,171145,142212,94619,56221,175908,180574,179858,167857,154231,98545,68585,159377,195715,194578,189013
130,2620,1124,297,419,0,35,8,31,82,420783,5,0,9,106,210391,1323,198,449,203,138,145,330,171,85,300,81,73,431,956,98,378
131,3338,0,41,0,0,0,151,38,658,0,0,1074,0,77,0,0,72,1814,875,0,1191,883,2490,1211,0,0,0,0,0,0,9
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
133,1497503,1500247,1492447,1519807,1660206,1742794,1952032,1816629,1930384,420783,1821570,1940662,1917869,1740824,210391,1701619,1658615,1617510,1763719,1785305,1662445,1696207,1745158,1731413,1659169,1801300,1767508,1495260,1615318,1625569,1493695
134,31313,29540,30709,26016,29273,25665,33251,26931,24167,420783,22569,33704,37566,29933,210391,31907,29949,28710,30801,34621,21526,29589,36538,26329,31665,35452,29894,33776,37773,45823,32484
135,149199034,151677911,151475752,142748851,143366210,146795563,141209772,143059789,142506226,420783,140314700,144134376,144058616,139273560,210391,136420845,136476098,137912051,140453871,139891670,132065747,131920305,133955657,131372413,136695668,143758483,142636848,120009271,127031576,123648158,115939286
136,56,1353,1831,2117,2599,706,2580,7569,2220,420783,2495,2862,579,3835,210391,1442,5722,3876,429,68,5931,1141,2253,504,12969,4026,313,6244,1471,2628,3718
137,3273774,3279303,3393826,3428412,3411379,3287881,3328997,3375814,3355251,420783,1262705,335287,183,3088,210391,2417,2553,61,495,654,1189,7011,6491,32811,22362,17,10,7844,236787,484463,324882
138,574,615,289,9,980,2746,1185,589,1067,420783,3280,1893,1561,0,210391,742,523,1996,142,4452,1395,1972,2807,505,2284,2096,2966,496,190,0,1980
139,821,4196,2346,10357,14530,9834,2307,472,1669,420783,145,7,122,308,210391,2322,1011,1037,194,205,1827,2207,2524,1926,808,219,131,2421,2217,181,1283
140,29047,31499,29776,27149,23955,25179,28980,32331,37749,420783,28829,29482,31785,38420,210391,32031,25030,20850,20045,16991,20334,22196,20502,25361,17112,14124,16857,17807,17714,18673,18370
141,1450,1776,4703,3962,2143,2540,2164,1961,1743,420783,4941,2740,1984,2801,210391,2733,2599,2143,4555,2318,3613,3559,1999,3145,1836,3245,2639,2508,2685,3696,3576
142,841,201,186,649,0,600,627,0,123,420783,1036,85,0,2386,210391,49,4673,203,72,5961,4176,2375,1184,0,831,0,371,3946,4649,1991,4117
143,14,1,0,0,0,0,1,23,14,420783,1,0,0,0,210391,91,727,62,0,0,1881,1093,2320,6165,5682,2,0,954,7986,3419,3081
144,790752,795810,775977,844340,797488,418896,700909,808236,820392,420783,846557,773460,468612,661256,210391,785934,813504,806497,763918,538334,660909,831316,787692,773772,772275,773282,511946,520053,559058,499638,356236
145,3649,5411,3101,5839,8833,5927,7142,4834,8523,420783,7358,4658,5852,8458,210391,7436,4679,5823,6393,3341,3836,6218,4520,2616,3081,3163,2482,2534,2049,6455,5294
146,3856,1874,2561,1820,0,0,1989,2756,3919,420783,2815,2807,0,5734,210391,4991,4207,7141,0,0,643,7402,9771,3762,9923,531,8,2643,1006,1533,621
